Plato,Energía,Carbohidratos,Grasas totales,Azúcares,Grasas saturadas,Fibra dietética,Proteínas,Sal
"Milhojas de verdura, pesto y mozzarella",,,,,,,,
Garbanzos con butifarra y setas,"206,7 kcal","21,7 g","7,3 g","5,3g","1,7 g","7,6 g","9,5 g","0,9 g"
Bonito a la brasa con escabeche ligero,98.0 kcal,2.9 g,5.8 g,2.2 g,1.0 g,1.2 g,2.5 g,1.2 g
Curry verde de pollo,153.2 kcal,13.3 g,7.2 g,2.7g,1.2 g,1.7 g,8.3 g,1.0 g
Spaghetti alla carbonara,"224,6 kcal","22,0 g","11,6 g","1,5 g","4,0 g","1,0 g","7,9 g","0,8 g"
Calamar con tomate a la siciliana,"143,8 kcal","16,1 g","4,8 g","2,1 g","0,8 g","1,3 g","6,9 g","1,0 g"
Ternera con salsa de vino blanco,"451,2 kcal","57,0 g","20,7 g","9,4g","3,5 g","6,4 g","8,3 g","1,7 g"
Ramen de panceta y setas,131.6 kcal,7.4 g,10.0 g,3.5g,3.9 g,0.6 g,3.0 g,3.5 g
Pollo al mole con arroz,123.3 kcal,38.2 g,2.1 g, 0.7 g,0.7 g,0.4 g,9.1 g,0.8 g
Albóndigas al pomodoro,"173,4 kcal","24,1 g","4,1 g"," 3,5 g","1,1 g","1,4 g","9,5 g","0,8 g"
Atún teriyaki con arroz,"169,2 kcal","21,8 g","4,7 g","4,2 g","0,8 g","0,9 g","10,6 g","1,8 g"
Tortiglioni con tomate cremoso y crispy bacon,"182,7 kcal","22,5 g","8,1 g","2,9 g","2,9 g","0,8 g","4,4 g","0,8 g"
Lasagne al tonno,"135,1 kcal","14,7 g","5,2 g"," 4,2 g","2,7 g","0,8 g","7,3 g","1,2 g"
Guiso de alubia pinta alavesa,"112,6 kcal","9,3 g","4,9 g"," 1,6 g","0,3 g","6,0 g","7,8 g","0,5 g"
Wok chifa thai,"77,82 kcal","14,65 g","0,99 g"," 2,56 g","0,18 g","1,59 g","3,21 g","0,38 g"
Arroz Caldoso de langostinos,"138,4 kcal","21,9 g","1,9 g","0,6 g","0,4 g","0,2 g","8,4 g","0,9 g"
Pollo glaseado con guiso de calabacín y zanahoria,62.6 kcal,4.3 g,1.5 g,2.4 g,0.3 g,1.4 g,8.1 g,0.4 g
Paella,"92,1 kcal","14,0 g","1,9 g","0,2 g","0,6 g","0,3 g","5,2 g","0,4 g"
Crema de espinacas,"78,8 kcal","3,6 g","6,5 g"," 1,6 g","3,0 g","1,9 g","1,8 g","0,4 g"
Sopa azteca,129.3 kcal,11.8 g,8.5 g,2.5g,2.0 g,1.9 g,1.7 g,0.9 g
Menestra con jamón,"87,6 kcal","7,8 g","4,0 g","1,3 g","1,2 g","2,9 g","4,3 g","0,3 g"
Pechuga de pollo a la parrilla,171.6 kcal,0.0 g,4.5 g,0.0g,0.9 g,0.0 g,32.3 g,0.2 g
Solomillo de cerdo a la plancha,166.4 kcal,0.0 g,6.5 g,0.0g,2.6 g,0.0 g,26.7 g,0.2 g
Ternera a la brasa,287.2 kcal,0.0 g,20.9 g,0.0g,8.0 g,0.0 g,23.2 g,0.1 g
Arroz integral,140.0 kcal,29.6 g,0.9 g,0.2g,0.2 g,0.9 g,2.9 g,0.0 g
Arroz blanco,145.6 kcal,34.4 g,0.4 g,0.1g,0.1 g,0.1 g,2.8 g,0.0 g
Patatas panadera,188.0 kcal,23.8 g,8.6 g,3.9g,1.5 g,2.7 g,3.4 g,0.7 g
Flan de huevo con toffee,244.7 kcal,16.1 g,17.7 g, 16.1 g,9.5 g,0.1 g,5.1 g,0.2 g
Arroz con leche,"142,3 kcal","20,7 g","5,4 g","14,2 g","3,3 g","0,06 g","3,0 g","0,1 g"
1 kg de fruta de temporada,,,,,,,,
